New Jersey,6,2016,65.4,45
New Mexico,6,2016,66.2,34
New York,6,2016,59.9,10
North Carolina,6,2016,70.6,5
North Dakota,6,2016,61.3,35
Ohio,6,2016,65.4,6
Oklahoma,6,2016,72.7,27
Oregon,6,2016,56.8,47
Pennsylvania,6,2016,62.4,16
Rhode Island,6,2016,62.4,7
South Carolina,6,2016,74.9,11
South Dakota,6,2016,63.7,19
Tennessee,6,2016,70.9,46
Texas,6,2016,75.8,38
Utah,6,2016,62.6,28
Vermont,6,2016,58.0,12
Virginia,6,2016,66.9,36
Washington,6,2016,57.5,17
West Virginia,6,2016,64.5,13
Wisconsin,6,2016,61.0,14
Wyoming,6,2016,55.8,39
Alabama,7,2016,80.6,29
Arizona,7,2016,81.4,2
Arkansas,7,2016,80.4,20
California,7,2016,75.2,21
Colorado,7,2016,67.8,40
Connecticut,7,2016,70.8,22
Delaware,7,2016,76.0,41
Florida,7,2016,82.9,3
Georgia,7,2016,81.2,23
Idaho,7,2016,63.0,24
Illinois,7,2016,75.2,25
Indiana,7,2016,73.8,32
Iowa,7,2016,72.9,42
Kansas,7,2016,78.6,43
Kentucky,7,2016,76.4,18
Louisiana,7,2016,82.3,33
Maine,7,2016,63.8,15
Maryland,7,2016,75.3,0
Massachusetts,7,2016,69.4,30
Michigan,7,2016,67.5,4
Minnesota,7,2016,67.4,26
Mississippi,7,2016,81.3,8
Missouri,7,2016,77.5,37
Montana,7,2016,64.2,31
Nebraska,7,2016,73.8,9
Nevada,7,2016,71.7,1
New Hampshire,7,2016,65.6,44
New Jersey,7,2016,73.9,45
New Mexico,7,2016,74.9,34
New York,7,2016,67.2,10
North Carolina,7,2016,77.7,5
North Dakota,7,2016,67.6,35
Ohio,7,2016,73.0,6
Oklahoma,7,2016,81.2,27
Oregon,7,2016,62.4,47
Pennsylvania,7,2016,70.2,16
Rhode Island,7,2016,70.4,7
South Carolina,7,2016,81.8,11
South Dakota,7,2016,71.8,19
Tennessee,7,2016,78.2,46
Texas,7,2016,82.8,38
Utah,7,2016,72.3,28
